Station,Year,region,PC1_tmax,PC2_tmax,PC3_tmax
USR0000TLUF,2017,East,4.3947370713270715,2.5189543107979375,6.210786426151408
USR0000TLUF,2018,East,-0.45390403203937524,-2.6641093496039616,1.7097754907523068
USR0000TLUF,2019,East,-0.7071929110993125,2.0201202831660368,-0.7668609186158406
USR0000TLUF,2020,East,2.3245624924354473,2.253655725685313,0.6905606645686007
USR0000TLUF,2021,East,0.6404828355916123,6.5901101195156535,-4.050700357893696
USR0000TMAA,2001,Panhandle,-7.204246640369362,-2.9543806061966364,-3.957536020744044
USR0000TMAA,2002,Panhandle,-9.132995389105218,-2.279269419358215,1.070545245895481
USR0000TMAA,2003,Panhandle,-5.8127465723568434,-0.9596273983067576,-4.123537830023089
USR0000TMAA,2004,Panhandle,-8.421522281121838,1.0505840795371313,-0.5643735718547305
USR0000TMAA,2005,Panhandle,-4.431547239989513,0.15727254236872312,-3.3695047231798583
USR0000TMAA,2006,Panhandle,0.9404621458076292,-6.406750753577086,0.8255003485296442
USR0000TMAA,2007,Panhandle,-8.309826845081233,2.556939907604445,-1.9117574888458009
USR0000TMAA,2008,Panhandle,-1.5476587418282008,-2.6027215648171094,1.3425814059411891
USR0000TMAA,2009,Panhandle,-3.255876587290757,-4.368869894986105,4.495133275518697
USR0000TMAA,2010,Panhandle,-6.3161052763897345,-0.0006175171603857166,-7.263215659922061
USR0000TMAA,2011,Panhandle,0.47857044579558305,-12.71365831286635,-4.206169033746079
USR0000TMAA,2012,Panhandle,2.7880980250542393,-4.991721230450501,-1.3085340788811237
USR0000TMAA,2013,Panhandle,-5.764124372925906,-4.038717272968519,-1.7565405854123668
USR0000TMAA,2014,Panhandle,-5.989704740129724,-2.6546883565717536,-2.7888089818423722
USR0000TMAA,2015,Panhandle,-3.706444302487398,0.24922745104606037,-4.706697574429327
USR0000TMAA,2016,Panhandle,-0.4690721038600145,-1.3172880164275753,0.42801763714852825
USR0000TMAA,2017,Panhandle,-0.23219494754461323,-2.481073069617267,3.5902716834612463
USR0000TMAA,2018,Panhandle,-3.1689592293380144,-8.31034244813231,1.3072021889901038
USR0000TMAA,2019,Panhandle,-6.688734146582206,-1.0431016621918943,-4.052777767302523
USR0000TMAA,2020,Panhandle,-1.5257213832240808,-3.1283933945216518,-2.7896911200634236
USR0000TMAA,2021,Panhandle,-3.4898776516011196,5.058520143624008,-9.259119659625227
USR0000TMAS,2003,Central,-0.2170294713087344,0.9917727808142089,-0.24904087374412143
USR0000TMAS,2004,Central,-1.9125206801957688,3.6042856412675235,0.6945958853254197
USR0000TMAS,2005,Central,2.2714531925795285,2.927057807855647,-1.8696020304324321
USR0000TMAS,2006,Central,6.4723645190756685,-1.2022388759439693,0.9890272345528786
USR0000TMAS,2007,Central,-0.9148346106900647,5.725949600966196,-0.568432075902578
USR0000TMAS,2008,Central,5.665424218842588,-0.287568730635293,1.515478036490137
USR0000TMAS,2009,Central,3.8664625427768016,-3.5611986957852935,4.5452811682159755
USR0000TMAS,2010,Central,0.8020227166464338,2.340720207331458,-6.1113781842952335
USR0000TMAS,2011,Central,7.857823536400829,-7.812456986320875,-3.5364621096667648
USR0000TMAS,2012,Central,6.969178389308723,-0.45640761222569637,-1.8931501162786546
USR0000TMAS,2013,Central,1.8218815563472077,-3.1857205490212266,1.4876704630381496
USR0000TMAS,2014,Central,1.297759283937225,-0.008445123422362144,-0.08542788885229413
USR0000TMAS,2015,Central,1.1192326652973321,1.4192355159556485,-5.746863379330499
USR0000TMAS,2016,Central,3.597376171209106,0.9922041047477492,2.209848541646533
USR0000TMAS,2017,Central,6.237474400695163,0.23397871358174882,3.8270562340109784
USR0000TMAS,2018,Central,1.8320444675379548,-5.220808687220199,1.8413435873535278
USR0000TMAS,2019,Central,2.265771430643042,0.44589647488821527,-3.6052620710552787
USR0000TMAS,2020,Central,5.434709059534782,0.08985735216214863,-2.1863976004287338
USR0000TMAS,2021,Central,3.9884380234786363,6.46175817310386,-4.829943879277202
USR0000TMAT,2004,Gulf Coast,6.1448589748156195,5.4800483677370195,-0.27049684002411567
USR0000TMAT,2005,Gulf Coast,6.585582427044699,4.769045002332831,0.0612489934389302
USR0000TMAT,2006,Gulf Coast,11.711853170986515,9.378654975812506,0.14168925011428968
USR0000TMAT,2007,Gulf Coast,14.426619522820289,7.601401372954804,5.457163665723911
USR0000TMAT,2008,Gulf Coast,7.594598525233408,4.681201314032208,1.4507349406000074
USR0000TMAT,2009,Gulf Coast,3.971470059342849,2.0373077267553157,6.40077883075595
USR0000TMAT,2010,Gulf Coast,1.8948982528825695,5.0505512939784865,-3.9226787308635878
USR0000TMAT,2011,Gulf Coast,5.289354660926847,4.459602951944426,-0.6954538038209108
USR0000TMAT,2012,Gulf Coast,9.451241452467514,5.952533400439094,0.8149849972418721
USR0000TMAT,2013,Gulf Coast,3.341203743207558,4.082442536179762,3.3501556066948766
USR0000TMAT,2014,Gulf Coast,1.7579413028532827,5.885028023868223,-0.4170473892506976
USR0000TMAT,2015,Gulf Coast,2.931422887741647,6.717334505684018,-1.0053836785900927
USR0000TMAT,2016,Gulf Coast,7.3770258900159575,5.649341427958539,1.2466810362936727
USR0000TMCF,1999,Gulf Coast,-8.861431387359147,9.749193344778487,-1.4914423804123587
USR0000TMCF,2000,Gulf Coast,-1.2666109182910361,6.634522249096488,7.208224552538496
USR0000TMCF,2001,Gulf Coast,0.4802263476906319,4.615100714734929,1.557194504820444
USR0000TMCF,2002,Gulf Coast,-0.8808893120967838,4.077936774261872,2.613164678212428
USR0000TMCF,2003,Gulf Coast,-0.26272776761929606,4.792754854983123,-0.7954375196040786
USR0000TMCF,2004,Gulf Coast,0.5327024872746335,3.818077847251679,0.5424897398642017
USR0000TMCF,2005,Gulf Coast,0.543049228747492,3.2890516000447647,-0.08599095234369258
USR0000TMCF,2006,Gulf Coast,2.0122413211403227,4.129819760752305,2.9259187146470857
USR0000TMCF,2007,Gulf Coast,-0.1575523452642642,6.697491123542925,-0.45159486682440075
USR0000TMCF,2009,Gulf Coast,-0.006859250284463769,1.4129121386503627,4.61960127663124
USR0000TMCF,2010,Gulf Coast,-3.7077123085220194,3.253632570018766,-3.1627845116296456
USR0000TMCF,2011,Gulf Coast,0.42284059092807524,2.2566600627992557,-0.37057021028351045
USR0000TMCF,2012,Gulf Coast,3.7193242151947743,5.004829070723581,2.7355685691180582
USR0000TMCF,2013,Gulf Coast,-2.1747059625542136,3.364677066178963,2.8270562478494057
USR0000TMCF,2014,Gulf Coast,-2.9894679205206245,5.530480662365676,0.29510050101353613
USR0000TMCF,2015,Gulf Coast,0.7386592008989936,5.70065923841878,-1.6254416411643149
USR0000TMCF,2016,Gulf Coast,2.813519034850515,6.581813116861099,1.6178724324748828
USR0000TMCF,2017,Gulf Coast,4.372914684773377,5.6951516800430255,6.499307442024431
USR0000TMCF,2018,Gulf Coast,0.6486180065848686,2.9707441372077312,3.662737813816463
USR0000TMCF,2019,Gulf Coast,0.7795781535816815,5.044679579745804,1.7060891307932238
USR0000TMCF,2020,Gulf Coast,1.74463217874073,5.195316640688695,2.6193781530609144
USR0000TMCF,2021,Gulf Coast,0.7089986227509399,8.351137686782671,-2.744136934225722
USR0000TMID,2001,West,-5.212486849474857,-2.743891324412857,-0.7618739573999775
USR0000TMID,2002,West,-5.393426891369828,-4.339943677654901,0.7621961654730214
USR0000TMID,2003,West,-2.4066422426118805,-0.6210250801799404,-0.2973268582669206
USR0000TMID,2004,West,-5.8797176368405815,-1.5655188474110062,0.6538908296750847
USR0000TMID,2005,West,-2.3012598811788365,0.3565897504667248,-0.871220961476574
